CH_000	GAMMA
-145	-0.0108168498168498
-190	-0.0118864468864469
-285	-0.0135238095238095
-381	-0.0145970695970696
-496	-0.0156849816849817
-591	-0.0165567765567766
-531	-0.0165091575091575
-305	-0.0154468864468865
-165	-0.0143736263736264
-75	-0.0133223443223443
-25	-0.0122344322344322
-5	-0.0111538461538462
10	-0.0100989010989011
15	-0.009003663003663
25	-0.00791941391941392
30	-0.00683516483516484
30	-0.00572893772893773
35	-0.00463736263736264
35	-0.00354212454212454
40	-0.00246886446886447
45	-0.00138095238095238
55	-0.0003003663003663
55	-0.000102564102564103
85	0.00148351648351648
140	0.00363003663003663
265	0.0057985347985348
295	0.00799267399267399
310	0.0101794871794872
325	0.0123809523809524
336	0.0145677655677656
366	0.0167655677655678
381	0.0189377289377289
386	0.0212014652014652
396	0.0233846153846154
406	0.0256080586080586
416	0.0278095238095238
421	0.030003663003663
426	0.0321684981684982
416	0.0333846153846154
376	0.0326923076923077
320	0.0305054945054945
280	0.0283150183150183
240	0.0260805860805861
210	0.0239120879120879
195	0.0217216117216117
175	0.0195091575091575
160	0.0173186813186813
145	0.0151172161172161
130	0.0129304029304029
125	0.0107289377289377
120	0.00856043956043956
75	0.0063992673992674
15	0.00425274725274725
0	0.00208791208791209
-15	-8.79120879120879e-05
-35	-0.00227472527472527
-50	-0.00443589743589744
-90	-0.00767399267399267
-135	-0.00983882783882784
-195	-0.012
-290	-0.0141904761904762
-481	-0.0163516483516484
-656	-0.0184908424908425
-751	-0.0206923076923077
-816	-0.0228937728937729
-856	-0.0250769230769231
-891	-0.0272893772893773
-891	-0.0294835164835165
-846	-0.0317142857142857
-441	-0.0334139194139194
-336	-0.0331098901098901
-125	-0.030985347985348
-35	-0.0288168498168498
0	-0.0266556776556777
20	-0.0244688644688645
35	-0.0223113553113553
45	-0.0201208791208791
50	-0.017952380952381
50	-0.0157399267399267
55	-0.0135604395604396
60	-0.0113736263736264
55	-0.00918315018315018
55	-0.00698168498168498
55	-0.00477655677655678
70	-0.0026007326007326
90	-0.000399267399267399
80	-0.000113553113553114
120	0.00154212454212454
170	0.00374358974358974
230	0.00593406593406593
230	0.00813553113553114
250	0.0103333333333333
265	0.0125238095238095
270	0.0146996336996337
285	0.0169230769230769
290	0.0191245421245421
295	0.0213260073260073
305	0.0235274725274725
310	0.0257106227106227
325	0.0279084249084249
341	0.0300879120879121
351	0.0323150183150183
356	0.0334175824175824
310	0.0327069597069597
270	0.0305018315018315
230	0.0283333333333333
200	0.0261391941391941
185	0.0239047619047619
165	0.0217216117216117
150	0.0184285714285714
135	0.0162271062271062
135	0.014032967032967
120	0.0118315018315018
110	0.00964468864468865
80	0.00746520146520146
20	0.0053040293040293
-5	0.00317948717948718
-10	0.000963369963369964
-15	-0.00126007326007326
-20	-0.00347619047619048
-20	-0.00567399267399267
-30	-0.00784249084249084
-35	-0.01003663003663
-50	-0.0122271062271062
-55	-0.0144139194139194
-70	-0.0166043956043956
-90	-0.0187985347985348
-105	-0.021014652014652
-120	-0.0231831501831502
-135	-0.0253736263736264
-105	-0.0275677655677656
-100	-0.0298131868131868
-115	-0.032043956043956
-120	-0.0335311355311355
-95	-0.0330879120879121
-60	-0.0309157509157509
-25	-0.0286923076923077
-15	-0.0264908424908425
-5	-0.0243260073260073
5	-0.0221355311355311
10	-0.0199450549450549
10	-0.0177362637362637
10	-0.0155531135531136
10	-0.0133516483516483
10	-0.0111501831501832
10	-0.00895970695970696
10	-0.00676190476190476
10	-0.00457875457875458
10	-0.00239194139194139
15	-0.000197802197802198
15	-2.1978021978022e-05
15	-4.3956043956044e-05
15	-2.56410256410256e-05
10	-2.56410256410256e-05
15	-2.56410256410256e-05
15	-2.56410256410256e-05
15	-4.3956043956044e-05
15	-2.1978021978022e-05
15	-1.46520146520147e-05
15	-2.1978021978022e-05
15	-3.2967032967033e-05
10	-2.56410256410256e-05
10	-1.46520146520147e-05
15	-1.46520146520147e-05
15	-1.46520146520147e-05
15	-2.1978021978022e-05
15	-2.1978021978022e-05
10	-1.46520146520147e-05
15	-3.2967032967033e-05
15	-2.1978021978022e-05
15	-2.56410256410256e-05
10	-2.1978021978022e-05
10	-3.2967032967033e-05
15	-1.46520146520147e-05
15	-2.1978021978022e-05
15	-1.46520146520147e-05
15	-2.56410256410256e-05
15	-2.1978021978022e-05
15	-3.2967032967033e-05
15	-3.66300366300366e-05
15	-3.66300366300366e-05
15	-2.56410256410256e-05
15	-3.2967032967033e-05
10	-2.56410256410256e-05
15	-2.56410256410256e-05
15	-2.1978021978022e-05
15	-2.1978021978022e-05
15	-3.2967032967033e-05
10	-2.56410256410256e-05
10	-1.0989010989011e-05
15	-2.1978021978022e-05
15	-1.46520146520147e-05
10	-3.66300366300366e-05
15	-2.56410256410256e-05
15	-2.1978021978022e-05
15	-1.46520146520147e-05
10	-2.56410256410256e-05
15	-2.1978021978022e-05
15	0.00159340659340659
25	0.00603296703296703
40	0.0104578754578755
60	0.0148571428571429
70	0.0193113553113553
90	0.0237472527472527
115	0.0281978021978022
140	0.0326373626373626
160	0.0370989010989011
185	0.0416849816849817
205	0.0460989010989011
230	0.0505018315018315
250	0.055
270	0.0595054945054945
285	0.063992673992674
290	0.0671355311355311
240	0.0663260073260073
155	0.0617875457875458
95	0.0573443223443224
45	0.0529340659340659
10	0.0485201465201465
-10	0.0441025641025641
-10	0.0396849816849817
-20	0.0352490842490842
-20	0.0286556776556776
-10	0.0242051282051282
-20	0.0197509157509158
-15	0.0152967032967033
-15	0.0108681318681319
-15	0.00638095238095238
-15	0.00189010989010989
-15	-0.00250915750915751
-20	-0.00694871794871795
-25	-0.0113919413919414
-35	-0.0158168498168498
-45	-0.0202380952380952
-70	-0.0246739926739927
-85	-0.0291208791208791
-125	-0.0335567765567766
-150	-0.037952380952381
-185	-0.0423956043956044
-200	-0.0468205128205128
-220	-0.0512857142857143
-250	-0.0556630036630037
-270	-0.0601098901098901
-290	-0.0645567765567766
-290	-0.0669450549450549
-230	-0.0653150183150183
-145	-0.0609120879120879
-80	-0.0565604395604396
-45	-0.0520989010989011
-20	-0.0477069597069597
0	-0.0432380952380952
10	-0.0388205128205128
15	-0.0344029304029304
15	-0.0299010989010989
10	-0.0254395604395604
15	-0.021003663003663
20	-0.0165311355311355
15	-0.0120915750915751
25	-0.00763369963369964
20	-0.00320879120879121
15	-3.66300366300366e-05
15	0.000908424908424909
20	0.0034981684981685
15	0.00352380952380952
15	0.00352380952380952
15	0.00351282051282051
15	0.00350915750915751
15	0.00350915750915751
15	0.00350915750915751
15	0.00352380952380952
15	0.00352380952380952
20	0.00488278388278388
20	0.0102930402930403
25	0.0158095238095238
35	0.0213369963369963
50	0.0268571428571428
60	0.0322710622710623
85	0.0376446886446886
115	0.0430879120879121
155	0.0513296703296703
195	0.0567875457875458
245	0.0623479853479854
295	0.0678901098901099
325	0.0733553113553114
361	0.0789377289377289
381	0.0844249084249084
386	0.089989010989011
406	0.0955201465201465
416	0.0984835164835165
396	0.100959706959707
255	0.0956923076923077
155	0.0900732600732601
90	0.0845787545787546
60	0.0816776556776557
15	0.0760695970695971
5	0.0705714285714286
-20	0.0651172161172161
-30	0.0568827838827839
-40	0.0513992673992674
-35	0.0459047619047619
-35	0.0403956043956044
-40	0.0349304029304029
-40	0.0294175824175824
-40	0.0239230769230769
-35	0.0184468864468865
-30	0.0129304029304029
-35	0.00743956043956044
-35	0.00197802197802198
-35	-0.00352014652014652
-35	-0.00899267399267399
-35	-0.0144505494505494
-40	-0.0199450549450549
-55	-0.0253956043956044
-65	-0.0308717948717949
-85	-0.0363296703296703
-120	-0.0417692307692308
-150	-0.0472344322344322
-190	-0.0527326007326007
-230	-0.0581428571428571
-280	-0.0636373626373626
-325	-0.0690586080586081
-356	-0.0744981684981685
-381	-0.0802820512820513
-406	-0.0857692307692308
-426	-0.0911758241758242
-451	-0.0966849816849817
-451	-0.100531135531136
-386	-0.0994358974358974
-255	-0.0941501831501832
-170	-0.0886739926739927
-100	-0.0832710622710623
-55	-0.0777289377289377
-30	-0.0723003663003663
-10	-0.0668388278388278
0	-0.0614139194139194
15	-0.055996336996337
15	-0.0505494505494506
15	-0.0450842490842491
15	-0.0395824175824176
15	-0.0340586080586081
15	-0.0286043956043956
15	-0.0231501831501832
15	-0.0176336996336996
20	-0.0121831501831502
15	-0.00672527472527473
20	-0.00126373626373626
15	-4.3956043956044e-05
20	0.00371062271062271
20	0.00916117216117216
20	0.012043956043956
20	0.0120622710622711
