ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,変位計1,,γ1-2,,,筋かい有
139,981,54.88,3.37,-1.16,0.27,0.18,-0.7,-0.45,-2.62,1.96,7.48,9.5,42,6,1393,812,5341,,,54.88,,0.022641758,,,981
140,992,55.65,3.37,-1.16,0.28,0.18,-0.72,-0.46,-2.64,2.02,7.62,9.52,42.5,6.5,1403,812,5342,,,55.65,,0.02298022,,,992
141,1002,56.4,3.37,-1.26,0.27,0.19,-0.72,-0.46,-2.68,2.12,7.78,9.56,43,7,1410,812,5344,,,56.4,,0.02330989,,,1002
142,1012,57.17,3.47,-1.27,0.28,0.21,-0.73,-0.46,-2.72,2.18,7.94,9.58,43.5,6.5,1423,812,5346,,,57.17,,0.023604396,,,1012
143,1023,57.85,3.48,-1.37,0.27,0.21,-0.75,-0.46,-2.75,2.24,8.1,9.64,43.5,6,1433,812,5348,,,57.85,,0.023898901,,,1023
144,1036,58.52,3.48,-1.38,0.28,0.23,-0.75,-0.46,-2.78,2.26,8.24,9.68,44,6.5,1440,812,5350,,,58.52,,0.024193407,,,1036
145,1041,59.29,3.48,-1.48,0.28,0.24,-0.75,-0.46,-2.81,2.36,8.4,9.68,45.5,7,1448,812,5351,,,59.29,,0.024531868,,,1041
146,1048,59.96,3.58,-1.48,0.27,0.25,-0.78,-0.46,-2.84,2.44,8.58,9.72,45,6.5,1458,812,5353,,,59.96,,0.024782418,,,1048
147,1062,60.64,3.58,-1.47,0.28,0.25,-0.79,-0.46,-2.9,2.5,8.76,9.76,45,6.5,1463,812,5355,,,60.64,,0.025081319,,,1062
148,1074,61.22,3.58,-1.57,0.28,0.26,-0.8,-0.46,-2.93,2.54,8.9,9.78,46,6.5,1468,812,5356,,,61.22,,0.025336264,,,1074
149,1085,61.89,3.59,-1.58,0.28,0.26,-0.8,-0.46,-2.97,2.58,9.06,9.8,46,6.5,1478,812,5358,,,61.89,,0.025626374,,,1085
150,1091,62.57,3.69,-1.58,0.28,0.28,-0.81,-0.46,-3,2.64,9.24,9.86,46.5,6.5,1488,812,5400,,,62.57,,0.025881319,,,1091
151,1101,63.15,3.69,-1.68,0.28,0.28,-0.82,-0.47,-3.03,2.68,9.36,9.82,47.5,8,1495,812,5401,,,63.15,,0.026136264,,,1101
152,1111,64.01,3.69,-1.68,0.28,0.28,-0.83,-0.45,-3.08,2.74,9.58,9.88,47,7,1503,812,5403,,,64.01,,0.026514286,,,1111
153,1120,64.78,3.76,-1.68,0.28,0.3,-0.84,-0.46,-3.12,2.78,9.74,9.9,47,7,1513,812,5405,,,64.78,,0.026821978,,,1120
154,1139,65.35,3.79,-1.79,0.27,0.3,-0.84,-0.46,-3.14,2.86,9.9,9.9,48.5,7.5,1520,812,5407,,,65.35,,0.027059341,,,1139
155,1143,66.12,3.78,-1.79,0.28,0.31,-0.85,-0.47,-3.19,2.9,10.08,9.96,47.5,7.5,1528,812,5409,,,66.12,,0.027402198,,,1143
156,1156,66.8,3.8,-1.79,0.28,0.31,-0.86,-0.46,-3.27,2.92,10.22,9.98,49,7.5,1535,812,5410,,,66.8,,0.027692308,,,1156
157,1156,67.38,3.9,-1.79,0.28,0.31,-0.86,-0.46,-3.31,2.96,10.42,10,48,7.5,1543,812,5412,,,67.38,,0.027903297,,,1156
158,1163,68.05,3.88,-1.9,0.28,0.33,-0.87,-0.49,-3.34,3,10.56,10.02,48.5,7.5,1548,812,5414,,,68.05,,0.028206593,,,1163
159,1180,68.72,3.9,-1.9,0.27,0.33,-0.88,-0.5,-3.38,3.06,10.74,10.06,49.5,8,1555,812,5415,,,68.72,,0.028492308,,,1180
160,1186,69.3,3.92,-1.89,0.28,0.35,-0.89,-0.5,-3.41,3.1,10.9,10.08,50,7.5,1568,812,5417,,,69.3,,0.028738462,,,1186
161,1197,70.07,4,-2,0.27,0.35,-0.91,-0.5,-3.45,3.16,11.14,10.12,50,8.5,1575,812,5419,,,70.07,,0.029041758,,,1197
162,1216,70.74,4.01,-2,0.28,0.37,-0.91,-0.5,-3.47,3.22,11.34,10.14,51,8,1585,812,5421,,,70.74,,0.029331868,,,1216
163,1226,71.43,4.01,-2,0.27,0.4,-0.92,-0.5,-3.5,3.28,11.54,10.16,51.5,8.5,1595,812,5423,,,71.43,,0.029635165,,,1226
164,1236,72.1,4.02,-2,0.26,0.4,-0.94,-0.5,-3.52,3.34,11.76,10.18,51.5,8,1603,812,5424,,,72.1,,0.029925275,,,1236
165,1252,72.78,4.11,-2.11,0.28,0.43,-0.94,-0.51,-3.54,3.4,12,10.2,52,8,1613,812,5426,,,72.78,,0.030184615,,,1252
166,1266,73.53,4.11,-2.1,0.28,0.45,-0.95,-0.49,-3.6,3.46,12.24,10.24,52.5,9,1618,812,5428,,,73.53,,0.030514286,,,1266
