ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
155,380,170.05,4.45,5.12,-0.01,5.14,1.16,-0.92,-0.9,27.04,15.3,5.68,16.35,2.25,668,2717,2433,,,,
156,379,170.06,4.45,5.09,0,5.14,1.16,-0.91,-0.86,27.08,15.3,5.7,16.3,2.2,668,2717,2443,,,,
157,344,168.55,4.46,5.11,0.01,5,1.16,-0.94,-0.88,26.98,15.16,5.68,16.15,2.1,570,2717,2450,,,,
158,299,166.17,4.46,5.11,0.02,4.91,1.19,-0.93,-0.86,26.84,15,5.7,15.95,2.1,455,2717,2458,,,,
159,264,163.87,4.45,5.12,0,4.8,1.16,-0.93,-0.82,26.64,14.8,5.7,15.75,2.1,368,2717,2505,,,,
160,257,163.38,4.47,5.11,0,4.78,1.18,-0.93,-0.83,26.62,14.74,5.7,15.7,2.1,350,2717,2507,,,,
161,243,162.29,4.47,5.11,0.01,4.72,1.16,-0.93,-0.81,26.52,14.62,5.7,15.5,2.1,323,2717,2510,,,,
162,198,158.21,4.46,5.01,0.01,4.55,1.16,-0.93,-0.73,26.16,14.26,5.68,15.1,2.05,213,2717,2523,,,,
163,151,151.96,4.45,4.91,0.01,4.27,1.18,-0.92,-0.6,25.62,13.66,5.8,14.5,1.95,105,2717,2542,,,,
164,129,148.2,4.35,4.81,0,4.11,1.17,-0.92,-0.51,25.22,13.3,5.94,14.15,1.9,63,2717,2553,,,,
165,100,137.67,4.14,4.7,0,3.67,1.14,-0.92,-0.37,24.66,12.92,4.42,13.1,1.75,35,2717,2623,,,,
166,81,131.6,4.05,4.59,0.01,3.43,1.13,-0.91,-0.3,24.22,12.56,3.5,12.55,1.65,3,2717,2641,,,,
167,51,121.05,3.83,4.39,0,2.99,1.08,-0.92,-0.15,23.06,11.06,3.46,11.55,1.5,-50,2717,2711,,,,
168,31,110.82,3.6,4.2,0.01,2.6,1,-0.9,0.04,21.84,9.34,3.48,10.55,1.4,-70,2717,2740,,,,
169,20,102.21,3.41,4.09,0.01,2.3,0.96,-0.88,0.19,21.42,7.22,3.46,9.7,1.25,-73,2717,2803,,,,
170,11,90.97,3.19,3.89,0.01,1.89,0.89,-0.85,0.35,21.24,4,3.46,8.65,1.1,-70,2717,2834,,,,
171,0,85.21,2.97,3.71,0.01,1.73,0.83,-0.83,0.82,20.68,3.34,3.46,8.2,1.05,-90,2717,2851,,,,
172,3,84.63,2.97,3.66,-0.01,1.72,0.77,-0.82,0.87,20.58,3.3,3.44,8.1,1.05,-80,2717,2906,,,,
